gde_nr,gde_name,Kanton,Anb_1_change_in_prozent,Anb_1_differenz,Anb_1_entwicklung,Anb_1_gruppen,Anb_1_Name,Anb_1_preis_2018,Anb_1_preis_2019,Anb_1_preis_2020,Anb_1_preis_2021,Anb_1_preis_2022,Anb_1_preis_2023,Anb_1_preis_pro_2022,Anb_1_preis_pro_2023,Anb_1_rang,Anb_1_rang_preis_pro_2023,Anb_1_verbrauch,Anb_2_change_in_prozent,Anb_2_differenz,Anb_2_entwicklung,Anb_2_gruppen,Anb_2_Name,Anb_2_preis_2018,Anb_2_preis_2019,Anb_2_preis_2020,Anb_2_preis_2021,Anb_2_preis_2022,Anb_2_preis_2023,Anb_2_preis_pro_2022,Anb_2_preis_pro_2023,Anb_2_rang,Anb_2_rang_preis_pro_2023,Anb_2_verbrauch,Anb_3_change_in_prozent,Anb_3_differenz,Anb_3_entwicklung,Anb_3_gruppen,Anb_3_Name,Anb_3_preis_2018,Anb_3_preis_2019,Anb_3_preis_2020,Anb_3_preis_2021,Anb_3_preis_2022,Anb_3_preis_2023,Anb_3_preis_pro_2022,Anb_3_preis_pro_2023,Anb_3_rang,Anb_3_rang_preis_pro_2023,Anb_3_verbrauch,change_in_perc_schnitt,anzahl_anbieter
782,Guttannen,BE,13.04,-135,-2.55,2,BKW Energie AG,25,20,17,17,23,20,1035,900,1576,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.04,1
783,Hasliberg,BE,7.69,-90,-1.374,1,BKW Energie AG,28,23,22,30,26,24,1170,1080,1853,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69,1
784,Innertkirchen,BE,36,-405,-2.822,4,BKW Energie AG,23,15,17,19,25,16,1125,720,554,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1
785,Meiringen,BE,16.67,180,2.97,3,BKW Energie AG,25,26,28,23,24,28,1080,1260,1350,275,4500,11.11,-90,9.286,2,Alpen Energie,15,29,27,30,18,16,810,720,1677,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,2
786,Schattenhalb,BE,24,-270,5.866,3,BKW Energie AG,18,30,25,30,25,19,1125,855,1003,1592,4500,11.76,90,3.08,2,Alpen Energie,18,17,17,23,17,19,765,855,1642,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.88,2
791,Boltigen,BE,18.18,180,5.298,3,BKW Energie AG,22,30,25,26,22,26,990,1170,1292,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.18,1
792,Lenk,BE,7.41,-90,2.028,1,BKW Energie AG,27,21,21,17,27,25,1215,1125,1875,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.41,1
793,St. Stephan,BE,86.67,585,14.434,5,Elektrizitätsversorgung Ried - St. Stephan AG,21,30,18,16,15,28,675,1260,32,275,4500,7.14,-90,7.076,1,BKW Energie AG,19,24,27,28,28,26,1260,1170,1895,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.905,2
794,Zweisimmen,BE,35.71,-450,-4.664,4,BKW Energie AG,30,21,17,18,28,18,1260,810,568,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.71,1
841,Gsteig,BE,8.33,-90,9.608,2,Elektrizitätsgenossenschaft Gsteig,16,18,29,29,24,22,1080,990,1821,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1
842,Lauenen,BE,0,0,-4.01,1,BKW Energie AG,21,19,17,17,17,17,765,765,2196,1893,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
843,Saanen,BE,16.67,135,7.97,2,BKW Energie AG,17,16,22,28,18,21,810,945,1350,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,1
852,Guggisberg,BE,16.67,135,2.946,2,BKW Energie AG,19,23,23,21,18,21,810,945,1350,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,1
853,Rüschegg,BE,29.63,-360,9.504,4,BKW Energie AG,15,20,17,27,27,19,1215,855,783,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.63,1
855,Schwarzenburg,BE,31.82,-315,-7.476,4,BKW Energie AG,26,19,23,28,22,15,990,675,683,2201,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.82,1
861,Belp,BE,20.83,-225,0.412,3,Energie Belp AG,21,28,30,22,24,19,1080,855,1156,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.83,1
863,Burgistein,BE,64.71,495,15.098,5,BKW Energie AG,22,20,16,29,17,28,765,1260,122,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.71,1
866,Gerzensee,BE,35.71,-450,6.908,4,BKW Energie AG,15,19,19,25,28,18,1260,810,568,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.71,1
867,Gurzelen,BE,86.67,585,22.79,5,BKW Energie AG,15,24,30,19,15,28,675,1260,32,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.67,1
868,Jaberg,BE,15.79,135,0.292,2,BKW Energie AG,25,17,22,24,19,22,855,990,1426,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.79,1
869,Kaufdorf,BE,5.26,45,5.272,1,BKW Energie AG,19,18,30,22,19,20,855,900,2000,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26,1
870,Kehrsatz,BE,0,0,-2.64,1,BKW Energie AG,29,23,19,22,24,24,1080,1080,2196,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
872,Kirchdorf (BE),BE,4,-45,13.378,1,BKW Energie AG,16,15,28,30,25,24,1125,1080,2105,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1
877,Niedermuhlern,BE,12,-135,5.476,2,BKW Energie AG,18,19,26,28,25,22,1125,990,1619,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1
879,Riggisberg,BE,45,405,17.94,5,BKW Energie AG,17,30,23,17,20,29,900,1305,314,132,4500,0,0,6.612,1,Energie Versorgung Riggisberg AG,18,29,28,18,20,20,900,900,2196,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2
880,Rüeggisberg,BE,8.33,-90,4.33,2,BKW Energie AG,23,27,25,15,24,22,1080,990,1821,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1
883,Seftigen,BE,24.14,-315,0.626,3,BKW Energie AG,27,22,29,20,29,22,1305,990,996,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.14,1
884,Toffen,BE,4.35,45,4.228,1,BKW Energie AG,25,28,15,22,23,24,1035,1080,2078,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,1
885,Uttigen,BE,17.39,-180,8.396,3,BKW Energie AG,16,29,26,23,23,19,1035,855,1330,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.39,1
886,Wattenwil,BE,16.67,-225,4.764,3,BKW Energie AG,23,29,20,23,30,25,1350,1125,1350,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,1
888,Wald (BE),BE,57.89,495,16.424,5,BKW Energie AG,19,22,30,16,19,30,855,1350,184,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.89,1
889,Thurnen,BE,24,-270,5.638,3,BKW Energie AG,18,27,22,18,25,19,1125,855,1003,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1
901,Eggiwil,BE,10,-135,7.204,2,BKW Energie AG,20,26,24,26,30,27,1350,1215,1743,429,4500,6.67,-90,2.904,1,Elektrizitätsversorgung Stettler Fritz AG,25,23,26,25,30,28,1350,1260,1927,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.335,2
902,Langnau im Emmental,BE,16.67,-135,-6.898,3,BKW Energie AG,23,29,24,20,18,15,810,675,1350,2201,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,1
903,Lauperswil,BE,22.73,-225,5.908,3,Elektra Emmenmatt,16,28,27,23,22,17,990,765,1055,1893,4500,12,-135,1.452,2,Elektrizitätsgenossenschaft Moosegg,24,30,20,27,25,22,1125,990,1619,1156,4500,6.67,45,-2.994,1,BKW Energie AG,21,24,15,17,15,16,675,720,1927,2037,4500,13.8,3
904,Röthenbach im Emmental,BE,40,360,5.36,5,BKW Energie AG,26,16,20,19,20,28,900,1260,426,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1
905,Rüderswil,BE,37.5,-405,1.612,4,BKW Energie AG,19,30,20,25,24,15,1080,675,509,2201,4500,17.39,180,0.86,3,Elektra Rüderswil,27,22,20,21,23,27,1035,1215,1330,429,4500,10,-135,5.586,2,Elektra Schwanden,22,18,20,24,30,27,1350,1215,1743,429,4500,21.63,3
906,Schangnau,BE,57.89,495,22.486,5,Elektrizitätsgenossenschaft Schangnau,15,29,25,20,19,30,855,1350,184,1,4500,39.29,-495,-5.154,5,BKW Energie AG,27,30,29,21,28,17,1260,765,459,1893,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.59,2
907,Signau,BE,28.57,-270,-4.014,4,Elektrizitätsgenossenschaft Schüpbach,20,20,25,24,21,15,945,675,805,2201,4500,15.79,-135,-10.94,2,BKW Energie AG,29,23,21,21,19,16,855,720,1426,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.18,2
908,Trub,BE,3.7,-45,17.822,1,BKW Energie AG,17,16,29,17,27,26,1215,1170,2131,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,1
909,Trubschachen,BE,27.27,270,12.232,4,BKW Energie AG,17,21,17,22,22,28,990,1260,869,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27,1
921,Amsoldingen,BE,12.5,-135,-0.243999999999999,2,BKW Energie AG,28,16,19,29,24,21,1080,945,1592,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,1
922,Blumenstein,BE,6.25,45,-2.74,1,Energieversorgung Blumenstein AG,24,19,16,24,16,17,720,765,1949,1893,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,1
923,Buchholterberg,BE,27.27,270,5.03,4,Elektra Energie Genossenschaft,25,23,22,16,22,28,990,1260,869,275,4500,18.18,180,6.928,3,BKW Energie AG,21,25,17,22,22,26,990,1170,1292,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.725,2
924,Eriz,BE,35,315,9.892,4,BKW Energie AG,22,21,16,27,20,27,900,1215,583,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1
925,Fahrni,BE,20,-270,0.0120000000000019,3,BKW Energie AG,27,22,19,26,30,24,1350,1080,1187,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1
927,Heiligenschwendi,BE,33.33,-450,-3.542,4,BKW Energie AG,27,23,23,30,30,20,1350,900,612,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,1
928,Heimberg,BE,8.7,-90,2.89,2,BKW Energie AG,21,26,17,22,23,21,1035,945,1804,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,1
929,Hilterfingen,BE,16.67,135,-5.302,3,BKW Energie AG,30,27,30,21,18,21,810,945,1350,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,1
931,Homberg,BE,21.43,-270,7.422,3,BKW Energie AG,17,20,18,25,28,22,1260,990,1126,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.43,1
932,Horrenbach-Buchen,BE,10,-135,4.19,2,Elektra Buchen - Teuffenthal,29,25,29,18,30,27,1350,1215,1743,429,4500,7.69,-90,9.81,1,BKW Energie AG,20,16,15,29,26,24,1170,1080,1853,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.845,2
934,Oberhofen am Thunersee,BE,5.26,-45,-7.896,1,Energie Oberhofen AG,29,19,20,20,19,18,855,810,2000,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26,1
935,Oberlangenegg,BE,15.38,180,12.36,2,BKW Energie AG,22,16,30,28,26,30,1170,1350,1445,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.38,1
936,Pohlern,BE,87.5,630,11.926,5,BKW Energie AG,29,18,25,29,16,30,720,1350,17,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,1
938,Sigriswil,BE,9.52,90,0.735999999999999,2,BKW Energie AG,29,17,24,17,21,23,945,1035,1769,1030,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52,1
939,Steffisburg,BE,5.88,-45,3.614,1,NetZulg AG,17,17,29,21,17,16,765,720,1966,2037,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88,1
940,Teuffenthal (BE),BE,24.14,-315,12.674,3,Elektra Buchen - Teuffenthal,19,28,19,15,29,22,1305,990,996,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.14,1
941,Thierachern,BE,5.26,45,-5.012,1,BKW Energie AG,27,26,19,18,19,20,855,900,2000,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26,1
942,Thun,BE,23.53,180,11.44,3,Energie Thun AG,15,21,25,29,17,21,765,945,1032,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.53,1
943,Uebeschi,BE,41.18,315,2.006,5,BKW Energie AG,29,15,19,16,17,24,765,1080,401,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.18,1
944,Uetendorf,BE,23.81,225,9.754,3,BKW Energie AG,17,18,23,21,21,26,945,1170,1014,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.81,1
945,Unterlangenegg,BE,87.5,630,9.612,5,BKW Energie AG,27,21,27,22,16,30,720,1350,17,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,1
946,Wachseldorn,BE,87.5,630,8.238,5,BKW Energie AG,30,29,18,22,16,30,720,1350,17,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,1
947,Zwieselberg,BE,50,405,10.746,5,BKW Energie AG,18,22,23,20,18,27,810,1215,235,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1
948,Forst-Längenbühl,BE,7.69,-90,11.66,1,BKW Energie AG,15,22,27,25,26,24,1170,1080,1853,877,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69,1
951,Affoltern im Emmental,BE,25.93,-315,-4.668,3,BKW Energie AG,28,25,28,22,27,20,1215,900,938,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,1
952,Dürrenroth,BE,66.67,450,17.162,5,BKW Energie AG,16,26,28,17,15,25,675,1125,106,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67,1
953,Eriswil,BE,80,540,13.79,5,Elektrizitätsversorgung der Gemeinde Eriswil,23,25,16,25,15,27,675,1215,54,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1
954,Huttwil,BE,25,-270,-0.892,3,Industrielle Betriebe Huttwil AG,20,18,21,23,24,18,1080,810,948,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1
955,Lützelflüh,BE,31.25,225,4.722,4,Elektra Schwanden,30,15,28,27,16,21,720,945,720,1305,4500,4.76,-45,3.952,1,BKW Energie AG,21,21,29,16,21,20,945,900,2036,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.005,2
956,Rüegsau,BE,0,0,-0.17,1,BKW Energie AG,22,21,27,28,20,20,900,900,2196,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
957,Sumiswald,BE,66.67,450,8.802,5,Energie AG Sumiswald,27,17,17,27,15,25,675,1125,106,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67,1
958,Trachselwald,BE,16.67,135,-1.612,2,BKW Energie AG,25,24,28,19,18,21,810,945,1350,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,1
959,Walterswil (BE),BE,13.33,-180,11.886,2,BKW Energie AG,19,19,15,28,30,26,1350,1170,1556,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,1
960,Wyssachen,BE,21.74,-225,-2.664,3,BKW Energie AG,23,18,21,18,23,18,1035,810,1103,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.74,1
971,Attiswil,BE,7.14,90,21.562,1,BKW Energie AG,15,27,19,18,28,30,1260,1350,1895,1,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14,1
972,Berken,BE,16,180,14.48,2,BKW Energie AG,17,29,29,26,25,29,1125,1305,1405,132,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1
973,Bettenhausen,BE,14.29,-135,-2.822,2,BKW Energie AG,26,16,19,27,21,18,945,810,1490,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.29,1
975,Farnern,BE,5,45,6.088,1,BKW Energie AG,19,17,26,17,20,21,900,945,2018,1305,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
976,Graben,BE,47.06,360,7.532,5,BKW Energie AG,23,19,24,30,17,25,765,1125,284,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.06,1
977,Heimenhausen,BE,0,0,4.086,1,BKW Energie AG,24,21,20,26,28,28,1260,1260,2196,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
979,Herzogenbuchsee,BE,33.33,-405,-2.304,4,BKW Energie AG,26,18,27,23,27,18,1215,810,612,1736,4500,9.09,-90,-4.232,2,EWK Herzogenbuchsee AG,26,28,21,20,22,20,990,900,1784,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.21,2
